stage,cases,p50_ms,p70_ms,p95_ms,p100_ms,mean_ms,under_200_ms_percent
query_embedding,24,25.824350000000003,27.2982,28.845619999999997,29.4694,17.256445833333334,
vector_search,24,0.53545,0.57516,0.7153199999999998,0.7559,0.3905166666666667,
guardrails,24,0.25255,0.3247499999999999,0.4460549999999999,0.5034000000000001,0.22001666666666667,
generation,24,100.4492,233.17559999999997,3887.2923649999984,4665.9741,599.8200583333333,
grounding_validation,24,0.0046,0.0136,0.09481499999999982,0.253,0.020937499999999998,
total_e2e,24,129.6879,261.76008,3901.4869349999985,4694.3495,617.7214124999999,50.0
