stage,cases,p50_ms,p70_ms,p95_ms,p100_ms,mean_ms,under_200_ms_percent
query_embedding,24,25.17235,27.007509999999996,28.668675,29.1298,17.171795833333334,
vector_search,24,0.50375,0.5856100000000001,0.7140449999999999,0.7236,0.3891833333333334,
guardrails,24,0.17895,0.22177999999999998,0.34112499999999996,0.35419999999999996,0.17883333333333332,
generation,24,815.3169,2632.4489399999993,6904.495959999999,15631.65,2232.6199375,
grounding_validation,24,0.0039,0.012739999999999998,0.01907499999999999,0.0231,0.0072375,
total_e2e,24,843.0586999999999,2660.2428099999993,6918.801329999999,15660.1716,2250.3953166666665,50.0
