stage,cases,p50_ms,p70_ms,p95_ms,p100_ms,mean_ms,under_200_ms_percent
input_validation,24,0.06845,0.07387,0.088155,0.0913,0.06709583333333334,
route_check,24,0.19824999999999998,0.22317,0.26643999999999995,0.2744,0.17538333333333334,
query_embedding,24,26.8652,27.39226,28.59237,29.1908,17.609483333333333,
vector_search,24,0.5328999999999999,0.58224,0.64343,0.7203,0.38627083333333334,
guardrails,24,0.3195,0.38602999999999993,0.44238999999999995,0.4761,0.3123208333333333,
evidence_guardrail,24,0.0067,0.007619999999999999,0.009625,0.0103,0.005154166666666667,
generation,24,665.6243,1456.70969,1617.40789,1676.0316,754.4223000000001,
grounding_validation,24,0.04415,0.10735,0.1823449999999999,0.269,0.0646875,
total_e2e,24,694.7298,1484.9816799999999,1646.629695,1704.2151,772.7752166666666,50.0
