stage,cases,p50_ms,p70_ms,p95_ms,p100_ms,mean_ms,under_200_ms_percent
input_validation,24,0.061450000000000005,0.07101,0.08116,0.1623,0.06528333333333333,
route_check,24,0.18685000000000002,0.19849999999999998,0.25027499999999997,0.2754,0.16909166666666667,
query_embedding,24,26.476750000000003,27.27226,28.252805,29.2325,17.443241666666665,
vector_search,24,0.5256,0.57769,0.7272399999999999,0.754,0.39284583333333334,
guardrails,24,0.2579,0.28331999999999996,0.3598299999999999,0.3632,0.24738749999999998,
evidence_guardrail,24,0.007050000000000001,0.00771,0.010294999999999999,0.0149,0.0055375,
generation,24,212.3656,458.65886,607.5243549999999,612.1897,248.98449166666668,
grounding_validation,24,0.00555,0.013829999999999999,0.01651,0.0232,0.007475,
total_e2e,24,242.05164999999997,486.20637999999997,634.9839949999999,640.6958,267.1119,50.0
