stage,cases,p50_ms,p70_ms,p95_ms,p100_ms,mean_ms,under_200_ms_percent
query_embedding,24,24.353099999999998,26.272109999999998,27.89728,28.3629,16.29715,
vector_search,24,0.5340499999999999,0.58513,0.65661,0.7826,0.39321249999999996,
guardrails,24,0.14315,0.23642999999999997,0.3326549999999999,0.36269999999999997,0.16395416666666665,
generation,24,74.6542,252.15085999999837,2818.0394199999996,5777.7065,802.1734458333334,
grounding_validation,24,0.0041,0.013059999999999999,0.02365999999999999,0.1128,0.011220833333333333,
total_e2e,24,101.70295000000002,280.7706099999984,2833.3682549999994,5790.4741,819.051575,66.66666666666666
