configuration,model,device,dtype,top_k,confidence_threshold,cases,answers,coverage,abstention_rate,correctness_1_to_5,relevance_1_to_5,faithfulness_1_to_5,quality_method,citation_validity_rate,verbatim_span_rate,cold_load_ms,cold_first_inference_ms,cold_total_ms,warm_repetitions_per_case,answer_p50_ms,answer_p70_ms,answer_p95_ms,answer_p100_ms,estimated_post_eos_p50_ms,sub_200ms,selected
xlmr_distilled_threshold_0.00,deepset/xlm-roberta-base-squad2-distilled,cuda,torch.float16,3,0.0,12,11,0.9166666666666666,0.08333333333333337,4.363636363636363,4.545454545454546,5.0,codex_qualitative_evaluation_not_ground_truth,1.0,1.0,2349.1684,221.3361,2570.5045,5,12.4236,12.99154,13.47584,13.5733,58.3436,YES,False
xlmr_distilled_threshold_0.90,deepset/xlm-roberta-base-squad2-distilled,cuda,torch.float16,3,0.9,12,10,0.8333333333333334,0.16666666666666663,4.7,4.9,5.0,codex_qualitative_evaluation_not_ground_truth,1.0,1.0,2349.1684,221.3361,2570.5045,5,12.4236,12.99154,13.47584,13.5733,58.3436,YES,False
xlmr_distilled_threshold_0.95,deepset/xlm-roberta-base-squad2-distilled,cuda,torch.float16,3,0.95,12,9,0.75,0.25,4.888888888888889,5.0,5.0,codex_qualitative_evaluation_not_ground_truth,1.0,1.0,2349.1684,221.3361,2570.5045,5,12.4236,12.99154,13.47584,13.5733,58.3436,YES,False
xlmr_distilled_threshold_0.98,deepset/xlm-roberta-base-squad2-distilled,cuda,torch.float16,3,0.98,12,9,0.75,0.25,4.888888888888889,5.0,5.0,codex_qualitative_evaluation_not_ground_truth,1.0,1.0,2349.1684,221.3361,2570.5045,5,12.4236,12.99154,13.47584,13.5733,58.3436,YES,True
xlmr_distilled_threshold_0.99,deepset/xlm-roberta-base-squad2-distilled,cuda,torch.float16,3,0.99,12,8,0.6666666666666666,0.33333333333333337,4.875,5.0,5.0,codex_qualitative_evaluation_not_ground_truth,1.0,1.0,2349.1684,221.3361,2570.5045,5,12.4236,12.99154,13.47584,13.5733,58.3436,YES,False
