status,model,top_k,prompt_version,prompt_variant,cases,successes,failures,failure_rate,latency_p50_ms,latency_p70_ms,latency_p95_ms,latency_p100_ms,ttft_p50_ms,ttft_p70_ms,ttft_p95_ms,ttft_p100_ms,mean_output_tokens,mean_prompt_tokens,prompt_tokens_min,prompt_tokens_max,schema_valid_rate,grounded_citation_validity_rate,missing_citation_rate,unknown_citation_rate,novel_number_diagnostic_rate,retrieved_qrel_rate,insufficient_context_rate,answer_when_context_available_rate,refusal_when_context_missing_rate,appropriate_context_behavior_rate,human_correctness,human_relevance,human_faithfulness,human_mean_quality,serious_grounding_failures,quality_eligible,reviewer_type,selected,selection_basis
COMPLETED,sarvam-105b,10,generation-v1.1,context_only_refusal,12,12,0,0.0,1330.0716,1443.32024,7373.384589999991,14296.2787,265.33535,307.82914999999997,4867.546944999993,10081.8506,86.25,1900.25,1644,2169,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,4.666666666666667,4.583333333333333,5.0,4.75,0,True,codex_blinded_qualitative_review,False,not_selected
COMPLETED,sarvam-105b,10,generation-v1.1,strict_context_only,12,12,0,0.0,1579.87925,1966.0583800000002,7009.204694999993,11849.2889,278.26825,357.53505999999993,3931.919449999995,8096.3924,95.25,1890.25,1634,2159,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,4.666666666666667,4.666666666666667,5.0,4.777777777777778,0,True,codex_blinded_qualitative_review,True,highest_human_quality_then_refusal_behavior_latency_tokens
COMPLETED,sarvam-105b,10,generation-v1.1,structured_evidence_ids,12,12,0,0.0,1628.5508,1829.00835,4332.5171599999985,5271.7163,273.515,302.89713,1488.4324399999982,2729.3365,93.41666666666667,1928.25,1672,2197,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,4.666666666666667,4.583333333333333,5.0,4.75,0,True,codex_blinded_qualitative_review,False,not_selected
