status,model,top_k,prompt_version,prompt_variant,cases,successes,failures,failure_rate,latency_p50_ms,latency_p70_ms,latency_p95_ms,latency_p100_ms,ttft_p50_ms,ttft_p70_ms,ttft_p95_ms,ttft_p100_ms,mean_output_tokens,mean_prompt_tokens,prompt_tokens_min,prompt_tokens_max,schema_valid_rate,grounded_citation_validity_rate,missing_citation_rate,unknown_citation_rate,novel_number_diagnostic_rate,retrieved_qrel_rate,insufficient_context_rate,answer_when_context_available_rate,refusal_when_context_missing_rate,appropriate_context_behavior_rate,human_correctness,human_relevance,human_faithfulness,human_mean_quality,serious_grounding_failures,quality_eligible,selected,selection_basis,reviewer_type
COMPLETED,sarvam-105b,1,generation-v1.1,structured_evidence_ids,12,12,0,0.0,1091.7336,1368.5067499999998,32172.530125,32433.4471,226.5795,231.26644000000002,270.798545,285.2713,67.83333333333333,398.5833333333333,355,456,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,4.5,4.333333333333333,5.0,4.611111111111111,0,True,False,not_selected,codex_blinded_qualitative_review
COMPLETED,sarvam-105b,3,generation-v1.1,structured_evidence_ids,12,12,0,0.0,1440.31175,1677.34791,22731.52857499999,31931.4938,228.71395,237.37055999999998,5354.241984999992,11169.4741,86.25,734.1666666666666,671,878,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,4.583333333333333,4.333333333333333,5.0,4.638888888888888,0,True,False,not_selected,codex_blinded_qualitative_review
COMPLETED,sarvam-105b,5,generation-v1.1,structured_evidence_ids,12,12,0,0.0,1502.01,2407.4680299999995,9180.996724999999,9775.1873,259.8971,317.64135999999996,6912.047269999999,7875.3869,91.41666666666667,1084.6666666666667,897,1217,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,4.666666666666667,4.416666666666667,5.0,4.694444444444445,0,True,False,not_selected,codex_blinded_qualitative_review
COMPLETED,sarvam-105b,10,generation-v1.1,structured_evidence_ids,12,12,0,0.0,1384.2627499999999,1556.5979,2327.171394999999,3104.0877,269.27774999999997,294.80773,934.493124999999,1670.4649,92.83333333333333,1928.25,1672,2197,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,4.666666666666667,4.666666666666667,5.0,4.777777777777778,0,True,True,smallest_k_at_highest_human_quality,codex_blinded_qualitative_review
