measurement_label,component,stage,configuration,samples,p50_ms,p70_ms,p95_ms,p100_ms,mean_ms,notes
ABLATION (pre-existing real-human smoke clip),stt,eos_to_final_transcript,vad_current,3,0.0,0.0,0.0,0.0,0.0,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,connection_setup,vad_aggressive,3,191.4764,232.96875999999997,284.83421,295.2073,225.51323333333335,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,audio_upload_or_send,vad_aggressive,3,14169.4356,14174.085280000001,14179.89738,14181.0598,14172.8677,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,vad_endpoint_detection,vad_aggressive,3,79.5735,108.13433999999998,143.83538999999996,150.9756,99.25546666666666,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,server_processing,vad_aggressive,3,0.0,0.0,0.0,0.0,0.0,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,eos_to_final_transcript,vad_aggressive,3,367.5706,391.781,422.04400000000004,428.0966,365.3645333333334,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,connection_setup,vad_minimum_practical,3,260.3558,318.78756,391.82726,406.4352,261.30673333333334,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,audio_upload_or_send,vad_minimum_practical,3,13636.2977,13636.5633,13636.8953,13636.9617,13630.803866666667,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,vad_endpoint_detection,vad_minimum_practical,1,153.6812,153.6812,153.6812,153.6812,153.6812,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,server_processing,vad_minimum_practical,3,0.0,0.0,0.0,0.0,0.0,speech duration is reported separately and excluded
ABLATION (pre-existing real-human smoke clip),stt,eos_to_final_transcript,vad_minimum_practical,3,48.8744,257.6517199999999,518.6233699999999,570.8177,215.9779333333333,speech duration is reported separately and excluded
ABLATION,generation,prompt_serialization,reasoning_none_current,3,0.1121,0.11398,0.11633,0.1168,0.09573333333333334,new development optimization sample
ABLATION,generation,client_setup,reasoning_none_current,3,156.2605,178.0799,205.35415,210.809,173.4888,new development optimization sample
ABLATION,generation,network_connection_setup,reasoning_none_current,3,132.42759999999998,205.26055999999997,296.30175999999994,314.51,168.66426666666666,new development optimization sample
ABLATION,generation,server_wait_to_headers,reasoning_none_current,3,179.1135,229.16605999999996,291.73175999999995,304.2449,215.34406666666666,new development optimization sample
ABLATION,generation,time_to_first_content_token,reasoning_none_current,3,346.3183,486.82578,662.4601299999999,697.587,450.10786666666667,new development optimization sample
ABLATION,generation,content_token_generation,reasoning_none_current,3,454.5646,709.512,1028.19625,1091.9331,665.8271333333333,new development optimization sample
ABLATION,generation,output_parsing,reasoning_none_current,3,0.0398,0.04172,0.04412,0.0446,0.04083333333333333,new development optimization sample
ABLATION,generation,grounding_validation,reasoning_none_current,3,0.0011,0.00118,0.0012799999999999999,0.0013,0.0010666666666666667,new development optimization sample
ABLATION,generation,full_completion,reasoning_none_current,3,797.302,1194.18924,1690.2982899999997,1789.5201,1115.935,new development optimization sample
ABLATION,generation,prompt_serialization,reasoning_provider_default,0,,,,,,new development optimization sample
ABLATION,generation,client_setup,reasoning_provider_default,0,,,,,,new development optimization sample
ABLATION,generation,network_connection_setup,reasoning_provider_default,0,,,,,,new development optimization sample
ABLATION,generation,server_wait_to_headers,reasoning_provider_default,0,,,,,,new development optimization sample
ABLATION,generation,time_to_first_content_token,reasoning_provider_default,0,,,,,,new development optimization sample
ABLATION,generation,content_token_generation,reasoning_provider_default,0,,,,,,new development optimization sample
ABLATION,generation,output_parsing,reasoning_provider_default,0,,,,,,new development optimization sample
ABLATION,generation,grounding_validation,reasoning_provider_default,0,,,,,,new development optimization sample
ABLATION,generation,full_completion,reasoning_provider_default,0,,,,,,new development optimization sample
ABLATION,generation,prompt_serialization,max_tokens_128,4,0.09705,0.13116,0.14211000000000001,0.1443,0.098375,new development optimization sample
ABLATION,generation,client_setup,max_tokens_128,4,154.78425,157.47819,158.084865,158.2062,154.351525,new development optimization sample
ABLATION,generation,network_connection_setup,max_tokens_128,4,67.6729,69.30909999999999,80.1271,82.2907,68.893,new development optimization sample
ABLATION,generation,server_wait_to_headers,max_tokens_128,4,130.25545,168.06106,171.17101,171.793,128.0216,new development optimization sample
ABLATION,generation,time_to_first_content_token,max_tokens_128,4,252.05720000000002,292.62915,328.353525,335.4984,262.4992,new development optimization sample
ABLATION,generation,content_token_generation,max_tokens_128,4,603.9685,666.67286,788.26256,812.5805,568.317775,new development optimization sample
ABLATION,generation,output_parsing,max_tokens_128,4,0.02205,0.023519999999999996,0.03191999999999999,0.0336,0.023875,new development optimization sample
ABLATION,generation,grounding_validation,max_tokens_128,4,0.0004,0.00042999999999999994,0.0006549999999999999,0.0007,0.00045,new development optimization sample
