configuration,model,device,dtype,quantization,quantization_rationale,top_k,temperature,deterministic,max_output_tokens,cases,answers,coverage,abstention_or_rejection_rate,correctness_1_to_5,relevance_1_to_5,faithfulness_1_to_5,quality_method,serious_correctness_failures,quality_eligible,citation_validity_rate,cold_load_ms,cold_first_inference_ms,cold_total_ms,warm_repetitions_per_case,answer_p50_ms,answer_p70_ms,answer_p95_ms,answer_p100_ms,estimated_post_eos_p50_ms,sub_200ms
Qwen2.5-0.5B-Instruct_bf16_top3_greedy_64,Qwen/Qwen2.5-0.5B-Instruct,cuda,torch.bfloat16,none_native_bfloat16,32_GiB_VRAM_no_capacity_constraint_quality_priority,3,0,True,64,12,0,0.0,1.0,,,,codex_qualitative_evaluation_not_ground_truth,0,False,,1078.9364,1390.4124,2469.3487999999998,5,121.02430000000001,283.10339999999985,1132.847845,1138.5217,166.9443,YES
Qwen3-0.6B_bf16_top3_greedy_64,Qwen/Qwen3-0.6B,cuda,torch.bfloat16,none_native_bfloat16,32_GiB_VRAM_no_capacity_constraint_quality_priority,3,0,True,64,12,7,0.5833333333333334,0.41666666666666663,3.4285714285714284,4.0,5.0,codex_qualitative_evaluation_not_ground_truth,3,False,1.0,1201.2477,1315.0682,2516.3158999999996,5,1360.9855499999999,1522.72594,1538.777485,1539.0983,1406.90555,NO
