provider,model,prompt_version,prompt_variant,top_k,temperature,max_output_tokens,streaming,cases,successes,failures,failure_rate,timeouts,recovered_retry_cases,latency_p50_ms,latency_p70_ms,latency_p95_ms,latency_p100_ms,ttft_p50_ms,ttft_p70_ms,ttft_p95_ms,ttft_p100_ms,mean_output_tokens,mean_prompt_tokens,output_tokens_p50,output_tokens_p95,output_tokens_max,schema_valid_rate,missing_citation_rate,unknown_citation_rate,novel_number_diagnostic_rate,insufficient_context_rate,retrieved_qrel_at_10_rate,human_correctness,human_relevance,human_faithfulness,human_mean_quality,serious_grounding_failures,quality_eligible,selected,selection_basis,status,reviewer_type
sarvam,sarvam-105b,generation-v1.1,structured_evidence_ids,10,0,192,True,12,12,0,0.0,0,2,1420.40135,1591.16793,32108.10467,32231.657,260.37335,285.10722999999996,339.26303499999995,365.2518,92.58333333333333,1928.25,97.0,113.0,113.0,1.0,0.0,0.0,0.0,0.0,1.0,4.666666666666667,4.583333333333333,5.0,4.75,0,True,True,highest_human_quality_then_p50_latency,COMPLETED,codex_blinded_qualitative_review
sarvam,sarvam-105b-conversations,generation-v1.1,structured_evidence_ids,10,0,192,True,12,12,0,0.0,0,0,5145.83095,5253.9653,6662.160945,6796.5656,284.76865,291.41042,316.458785,324.8228,110.83333333333333,1928.25,113.0,141.95,148.0,1.0,0.0,0.0,0.0,0.0,1.0,4.583333333333333,4.666666666666667,5.0,4.75,0,True,False,not_selected,COMPLETED,codex_blinded_qualitative_review
