measurement_label,configuration,samples,successes,failures,failure_rate,speech_duration_ms,speech_duration_excluded_from_avoidable_latency,client_setup_n,client_setup_p50_ms,client_setup_p70_ms,client_setup_p95_ms,client_setup_p100_ms,client_setup_mean_ms,connection_n,connection_p50_ms,connection_p70_ms,connection_p95_ms,connection_p100_ms,connection_mean_ms,audio_send_n,audio_send_p50_ms,audio_send_p70_ms,audio_send_p95_ms,audio_send_p100_ms,audio_send_mean_ms,vad_detection_n,vad_detection_p50_ms,vad_detection_p70_ms,vad_detection_p95_ms,vad_detection_p100_ms,vad_detection_mean_ms,server_processing_n,server_processing_p50_ms,server_processing_p70_ms,server_processing_p95_ms,server_processing_p100_ms,server_processing_mean_ms,eos_to_final_n,eos_to_final_p50_ms,eos_to_final_p70_ms,eos_to_final_p95_ms,eos_to_final_p100_ms,eos_to_final_mean_ms,wall_clock_n,wall_clock_p50_ms,wall_clock_p70_ms,wall_clock_p95_ms,wall_clock_p100_ms,wall_clock_mean_ms
ABLATION (pre-existing real-human smoke clip),rest_new_connection,3,3,0,0.0,12695.5625,True,3,151.9719,152.28334,152.67264,152.7505,151.80636666666666,3,81.02090000000001,82.43014000000001,84.19169,84.544,74.11093333333334,3,111.92500000000001,118.63260000000001,127.01710000000001,128.69400000000002,115.89583333333333,0,,,,,,3,673.0871,714.31414,765.84794,776.1547,703.4247,3,888.2439,919.0613000000001,957.5830500000001,965.2874,894.7293,3,888.2439,919.0613000000001,957.5830500000001,965.2874,894.7293
ABLATION (pre-existing real-human smoke clip),rest_persistent_cold,1,1,0,0.0,12695.5625,True,1,0.0002,0.0002,0.0002,0.0002,0.0002,1,69.0961,69.0961,69.0961,69.0961,69.0961,1,107.1886,107.1886,107.1886,107.1886,107.1886,0,,,,,,1,897.6984,897.6984,897.6984,897.6984,897.6984,1,1074.9207,1074.9207,1074.9207,1074.9207,1074.9207,1,1074.9207,1074.9207,1074.9207,1074.9207,1074.9207
ABLATION (pre-existing real-human smoke clip),rest_persistent_warm,2,2,0,0.0,12695.5625,True,2,0.00045,0.0005099999999999999,0.000585,0.0006,0.00045,0,,,,,,2,0.70515,0.78737,0.890145,0.9107000000000001,0.70515,0,,,,,,2,693.8018,702.2805999999999,712.8791,714.9988,693.8018,2,695.5273,703.8928999999999,714.3498999999999,716.4413,695.5273,2,695.5273,703.8928999999999,714.3498999999999,716.4413,695.5273
ABLATION (pre-existing real-human smoke clip),websocket_buffered_preopened,3,3,0,0.0,12695.5625,True,0,,,,,,3,178.8584,248.93676,336.53471,354.0543,233.4671,3,109.3284,110.96084,113.00139,113.4095,109.89276666666666,3,2028.8094,2100.3436,2189.7613499999998,2207.6449,1957.6355999999998,3,2337.5091,2351.5885000000003,2369.18775,2372.7076,2183.5989000000004,3,2337.5309,2351.6090200000003,2369.20667,2372.7262,2183.6189333333336,3,3168.5471,3178.29938,3190.48973,3192.9278,3009.6780333333336
ABLATION (pre-existing real-human smoke clip),websocket_live_stream_preopened,3,3,0,0.0,12695.5625,True,0,,,,,,3,211.1509,234.77017999999998,264.29427999999996,270.1991,210.9532,3,12705.8688,12707.21944,12708.90774,12709.2454,12704.815133333332,1,1.3612,1.3612,1.3612,1.3612,1.3612,3,37.1679,102.63889999999999,184.47764999999998,200.8454,79.33776666666667,3,37.2188,102.69307999999998,184.53593,200.9045,79.37443333333334,3,13467.2707,13524.87174,13596.87304,13611.2733,13503.2135
ABLATION (pre-existing real-human smoke clip),websocket_live_stream_persistent,1,0,1,1.0,,True,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
ABLATION (pre-existing real-human smoke clip),vad_current,3,3,0,0.0,12695.5625,True,0,,,,,,3,208.2659,255.78013999999996,315.17294,327.0515,242.47086666666667,3,14650.1817,14650.35566,14650.57311,14650.6166,14649.459566666666,0,,,,,,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,15366.7979,15367.5037,15368.38595,15368.5624,15366.009
ABLATION (pre-existing real-human smoke clip),vad_aggressive,3,3,0,0.0,12695.5625,True,0,,,,,,3,191.4764,232.96875999999997,284.83421,295.2073,225.51323333333335,3,14169.4356,14174.085280000001,14179.89738,14181.0598,14172.8677,3,79.5735,108.13433999999998,143.83538999999996,150.9756,99.25546666666666,3,0.0,0.0,0.0,0.0,0.0,3,367.5706,391.781,422.04400000000004,428.0966,365.3645333333334,3,14883.8762,14887.90048,14892.930830000001,14893.9369,14887.047266666666
ABLATION (pre-existing real-human smoke clip),vad_minimum_practical,3,3,0,0.0,12695.5625,True,0,,,,,,3,260.3558,318.78756,391.82726,406.4352,261.30673333333334,3,13636.2977,13636.5633,13636.8953,13636.9617,13630.803866666667,1,153.6812,153.6812,153.6812,153.6812,153.6812,3,0.0,0.0,0.0,0.0,0.0,3,48.8744,257.6517199999999,518.6233699999999,570.8177,215.9779333333333,3,14350.0529,14352.32906,14355.17426,14355.7433,14346.852533333333
