stage,cases,p50_ms,p70_ms,p95_ms,p100_ms,mean_ms,under_200_ms_percent
query_embedding,24,25.1704,26.99623,28.98279,29.6919,17.2309625,
vector_search,24,0.5383,0.57665,0.676715,0.7157,0.3847875,
guardrails,24,0.19645,0.30987999999999993,0.39029999999999987,0.429,0.20200416666666665,
generation,24,103.17515,244.22567999999993,559.3844199999999,785.4262,192.54238333333333,
grounding_validation,24,0.0058,0.014029999999999999,0.019599999999999992,0.0211,0.007454166666666667,
total_e2e,24,132.68834999999999,272.1562899999999,589.5574249999997,813.2859,210.3971625,50.0
